"hrvValue","readingTimeGMT","readingTimeLocal","calendarDate","colorFlag"
20,2025-08-23 09:01:37,2025-08-23 05:01:37,2025-08-23,"Significant"
35,2025-08-23 09:06:37,2025-08-23 05:06:37,2025-08-23,"Significant"
32,2025-08-23 09:11:37,2025-08-23 05:11:37,2025-08-23,"Significant"
28,2025-08-23 09:16:37,2025-08-23 05:16:37,2025-08-23,"Significant"
30,2025-08-23 09:21:37,2025-08-23 05:21:37,2025-08-23,"Significant"
26,2025-08-23 09:26:37,2025-08-23 05:26:37,2025-08-23,"Significant"
28,2025-08-23 09:31:37,2025-08-23 05:31:37,2025-08-23,"Significant"
28,2025-08-23 09:36:37,2025-08-23 05:36:37,2025-08-23,"Significant"
26,2025-08-23 09:41:37,2025-08-23 05:41:37,2025-08-23,"Significant"
37,2025-08-23 09:46:37,2025-08-23 05:46:37,2025-08-23,"Significant"
34,2025-08-23 09:51:37,2025-08-23 05:51:37,2025-08-23,"Significant"
30,2025-08-23 09:56:37,2025-08-23 05:56:37,2025-08-23,"Significant"
25,2025-08-23 10:01:37,2025-08-23 06:01:37,2025-08-23,"Significant"
23,2025-08-23 10:06:37,2025-08-23 06:06:37,2025-08-23,"Significant"
19,2025-08-23 10:11:37,2025-08-23 06:11:37,2025-08-23,"Significant"
36,2025-08-23 10:16:37,2025-08-23 06:16:37,2025-08-23,"Significant"
28,2025-08-23 10:21:37,2025-08-23 06:21:37,2025-08-23,"Significant"
28,2025-08-23 10:26:37,2025-08-23 06:26:37,2025-08-23,"Significant"
32,2025-08-23 10:31:37,2025-08-23 06:31:37,2025-08-23,"Significant"
37,2025-08-23 10:36:37,2025-08-23 06:36:37,2025-08-23,"Significant"
32,2025-08-23 10:41:37,2025-08-23 06:41:37,2025-08-23,"Significant"
35,2025-08-23 10:46:37,2025-08-23 06:46:37,2025-08-23,"Significant"
35,2025-08-23 10:51:37,2025-08-23 06:51:37,2025-08-23,"Significant"
24,2025-08-23 10:56:37,2025-08-23 06:56:37,2025-08-23,"Significant"
28,2025-08-23 11:01:37,2025-08-23 07:01:37,2025-08-23,"Significant"
24,2025-08-23 11:06:37,2025-08-23 07:06:37,2025-08-23,"Significant"
19,2025-08-23 11:11:37,2025-08-23 07:11:37,2025-08-23,"Significant"
26,2025-08-23 11:16:37,2025-08-23 07:16:37,2025-08-23,"Significant"
26,2025-08-23 11:21:37,2025-08-23 07:21:37,2025-08-23,"Significant"
28,2025-08-23 11:26:37,2025-08-23 07:26:37,2025-08-23,"Significant"
27,2025-08-23 11:31:37,2025-08-23 07:31:37,2025-08-23,"Significant"
26,2025-08-23 11:36:37,2025-08-23 07:36:37,2025-08-23,"Significant"
25,2025-08-23 11:41:37,2025-08-23 07:41:37,2025-08-23,"Significant"
32,2025-08-23 11:46:37,2025-08-23 07:46:37,2025-08-23,"Significant"
26,2025-08-23 11:51:37,2025-08-23 07:51:37,2025-08-23,"Significant"
37,2025-08-23 11:56:37,2025-08-23 07:56:37,2025-08-23,"Significant"
37,2025-08-23 12:01:37,2025-08-23 08:01:37,2025-08-23,"Significant"
31,2025-08-23 12:06:37,2025-08-23 08:06:37,2025-08-23,"Significant"
30,2025-08-23 12:11:37,2025-08-23 08:11:37,2025-08-23,"Significant"
32,2025-08-23 12:16:37,2025-08-23 08:16:37,2025-08-23,"Significant"
37,2025-08-23 12:21:37,2025-08-23 08:21:37,2025-08-23,"Significant"
32,2025-08-23 12:26:37,2025-08-23 08:26:37,2025-08-23,"Significant"
33,2025-08-23 12:31:37,2025-08-23 08:31:37,2025-08-23,"Significant"
35,2025-08-23 12:36:37,2025-08-23 08:36:37,2025-08-23,"Significant"
